@  {'test_corpus_file': 'information_structure_corpus.txt', 'test_corpus_folder': 'study-8-information-structure', 'study_folder': 'study-8-information-structure/', 'author': 'PauliBrattico', 'year': 2021, 'date': 'February', 'study_id': 1, 'only_first_solution': False, 'logging': True, 'ignore_ungrammatical_sentences': False, 'datatake_resources': True, 'datatake_resource_sequence': False, 'datatake_timings': False, 'datatake_images': False, 'image_parameter_stop_after_each_image': False, 'image_parameter_show_words': True, 'image_parameter_nolabels': False, 'image_parameter_spellout': False, 'image_parameter_case': False, 'image_parameter_show_sentences': False, 'image_parameter_show_glosses': True, 'extra_ranking': True, 'filter': True, 'lexical_anticipation': True, 'closure': 'Bottom-up', 'working_memory': True, 'positive_spec_selection': 100, 'negative_spec_selection': -100, 'break_head_comp_relations': -100, 'negative_tail_test': -100, 'positive_head_comp_selection': 100, 'negative_head_comp_selection': -100, 'negative_semantics_match': -100, 'lf_legibility_condition': -100, 'negative_adverbial_test': -100, 'positive_adverbial_test': 100}
@  2021-03-17 10:34:16.055974
@  Test sentences from language data working directory\study-8-information-structure\information_structure_corpus.txt.
@  Logs into language data working directory\study-8-information-structure\information_structure_corpus_log.txt.
@  Lexicon from language data working directory\lexicon.txt.
@  Redundancy rules from language data working directory\redundancy_rules.txt.
@  Universal morphemes from language data working directory\ug_morphemes.txt.
@ 
@ 
Number,Sentence,Study_ID,Total Time,Garden Paths,Memory Reactivation,Steps,Merge,Move Head,Move Phrase,A-Move Phrase,A-bar Move Phrase,Move Adjunct,Agree,Phi,Transfer,Item streamed into syntax,Feature Processing,Extraposition,Inflection,Failed Transfer,LF recovery,LF test,Filter solution,Rank solution,Lexical retrieval,Morphological decomposition,Mean time per word,Asymmetric Merge,Sink,External Tail Test,Execution time (ms)	
145,Merjaa#[pA] Pekka ihailee ,1,,1415,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,13,4,2,13,4,3,20,4,471,26,6,18,31
146,Helsingissa#[pA] Pekka nukkui ,1,,1445,0,0,8,6,9,2,0,1,1,1,3,8,7,0,2,10,4,2,12,4,4,17,5,481,24,5,16,31
147,Merjaa#[pA] Pekka halusi ihailla ,1,,1860,0,0,19,9,16,9,0,3,4,4,8,15,10,1,2,13,7,4,23,7,5,23,5,465,85,14,58,109
148,Pekka#[kO] ihailee Merjaa ,1,,1345,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,448,14,4,5,31
149,Merjaa#[kO] Pekka ihailee ,1,,1415,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,13,4,2,13,4,3,20,4,471,26,6,18,31
150,Helsingissa#[kO] Pekka nukkui ,1,,1445,0,0,8,6,9,2,0,1,1,1,3,8,7,0,2,10,4,2,12,4,4,17,5,481,24,5,16,31
151,Merjaa#[kO] Pekka halusi ihailla ,1,,1860,0,0,19,9,16,9,0,3,4,4,8,15,10,1,2,13,7,4,23,7,5,23,5,465,85,14,58,62
152,Pekka#[foc] ihailee Merjaa ,1,,1355,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,451,14,4,5,31
153,PEKKA ihailee Merjaa ,1,,1360,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,3,453,14,4,5,31
154,Merjaa#[foc] Pekka ihailee ,1,,1425,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,13,4,2,13,4,3,20,4,475,26,6,18,46
155,Helsingissa#[foc] Pekka nukkui ,1,,1455,0,0,8,6,9,2,0,1,1,1,3,8,7,0,2,10,4,2,12,4,4,17,5,485,24,5,16,31
156,Merjaa#[foc] Pekka halusi ihailla ,1,,1870,0,0,19,9,16,9,0,3,4,4,8,15,10,1,2,13,7,4,23,7,5,23,5,467,85,14,58,62
157,PEKKA#[hAn] ihailee Merjaa ,1,,1485,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,15,3,2,7,5,3,22,4,495,14,4,5,31
158,PEKKA#[pA] ihailee Merjaa ,1,,1475,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,15,3,2,7,5,3,22,4,491,14,4,5,31
159,PEKKA#[kO] ihailee Merjaa ,1,,1475,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,15,3,2,7,5,3,22,4,491,14,4,5,31
160,Merjaa#[foc]#[hAn] Pekka ihailee ,1,,1555,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,14,4,2,13,4,3,21,4,518,26,6,18,31
161,Merjaa#[foc]#[pA] Pekka ihailee ,1,,1545,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,14,4,2,13,4,3,21,4,515,26,6,18,31
162,Merjaa#[foc]#[kO] Pekka ihailee ,1,,1545,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,14,4,2,13,4,3,21,4,515,26,6,18,31
163,Merjaa#[foc]#[hAn] Pekka halusi ihailla ,1,,2000,0,0,19,9,16,9,0,3,4,4,8,15,10,1,2,14,7,4,23,7,5,24,5,500,85,14,58,62
164,Merjaa#[foc]#[pA] Pekka halusi ihailla ,1,,1990,0,0,19,9,16,9,0,3,4,4,8,15,10,1,2,14,7,4,23,7,5,24,5,497,85,14,58,78
165,Merjaa#[foc]#[kO] Pekka halusi ihailla ,1,,1990,0,0,19,9,16,9,0,3,4,4,8,15,10,1,2,14,7,4,23,7,5,24,5,497,85,14,58,62
166,kuka#[hAn] ihailee Merjaa ,1,,1365,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,455,14,4,5,31
167,kuka#[pA] ihailee Merjaa ,1,,1355,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,451,14,4,5,31
168,kuka#[kO] ihailee Merjaa ,1,,1355,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,451,14,4,5,31
169,keta#[hAn] Pekka ihailee ,1,,1185,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,9,4,2,13,4,3,16,4,395,26,6,18,31
170,keta#[pA] Pekka ihailee ,1,,1175,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,9,4,2,13,4,3,16,4,391,26,6,18,31
171,keta#[kO] Pekka ihailee ,1,,1175,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,9,4,2,13,4,3,16,4,391,26,6,18,31
172,Pekka#[pA]#[hAn] ihailee Merjaa ,1,,1465,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,488,14,4,5,31
173,Pekka#[kO]#[hAn] ihailee Merjaa ,1,,1465,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,488,14,4,5,31
174,Helsingissa#[kO]#[hAn] Pekka nukkui ,1,,1565,0,0,8,6,9,2,0,1,1,1,3,8,7,0,2,11,4,2,12,4,4,18,5,521,24,5,16,31
175,Helsingissa#[pA]#[hAn] Pekka nukkui ,1,,1565,0,0,8,6,9,2,0,1,1,1,3,8,7,0,2,11,4,2,12,4,4,18,5,521,24,5,16,31
176,PEKKA#[kO]#[hAn] ihailee Merjaa ,1,,1595,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,16,3,2,7,5,3,23,4,531,14,4,5,46
177,PEKKA#[pA]#[hAn] ihailee Merjaa ,1,,1595,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,16,3,2,7,5,3,23,4,531,14,4,5,31
178,Merjaa#[foc]#[pA]#[hAn] Pekka halusi ihailla ,1,,2110,0,0,19,9,16,9,0,3,4,4,8,15,10,1,2,15,7,4,23,7,5,25,5,527,85,14,58,62
179,Merjaa#[foc]#[kO]#[hAn] Pekka halusi ihailla ,1,,2110,0,0,19,9,16,9,0,3,4,4,8,15,10,1,2,15,7,4,23,7,5,25,5,527,85,14,58,62
180,Merjaa#[foc]#[pA]#[hAn] Pekka ihailee ,1,,1665,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,15,4,2,13,4,3,22,4,555,26,6,18,31
181,Merjaa#[foc]#[kO]#[hAn] Pekka ihailee ,1,,1665,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,15,4,2,13,4,3,22,4,555,26,6,18,31
182,Helsingissa#[foc]#[kO]#[hAn] Pekka nukkui ,1,,1695,0,0,8,6,9,2,0,1,1,1,3,8,7,0,2,12,4,2,12,4,4,19,5,565,24,5,16,31
183,Helsingissa#[foc]#[pA]#[hAn] Pekka nukkui ,1,,1695,0,0,8,6,9,2,0,1,1,1,3,8,7,0,2,12,4,2,12,4,4,19,5,565,24,5,16,46
184,kuka#[kO]#[hAn] ihailee Merjaa ,1,,1475,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,15,3,2,7,5,3,22,4,491,14,4,5,46
185,kuka#[pA]#[hAn] ihailee Merjaa ,1,,1475,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,15,3,2,7,5,3,22,4,491,14,4,5,31
186,kuka#[foc]#[kO]#[hAn] ihailee Merjaa ,1,,1605,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,16,3,2,7,5,3,23,4,535,14,4,5,46
187,kuka#[foc]#[pA]#[hAn] ihailee Merjaa ,1,,1605,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,16,3,2,7,5,3,23,4,535,14,4,5,31
188,keta#[foc]#[kO]#[hAn] Pekka ihailee ,1,,1425,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,11,4,2,13,4,3,18,4,475,26,6,18,31
189,keta#[foc]#[pA]#[hAn] Pekka ihailee ,1,,1425,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,11,4,2,13,4,3,18,4,475,26,6,18,46
190,keta#[foc]#[kO]#[hAn] Pekka halusi ihailla ,1,,1870,0,0,19,9,16,9,0,3,4,4,8,15,10,1,2,11,7,4,23,7,5,21,5,467,85,14,58,62
191,keta#[foc]#[pA]#[hAn] Pekka halusi ihailla ,1,,1870,0,0,19,9,16,9,0,3,4,4,8,15,10,1,2,11,7,4,23,7,5,21,5,467,85,14,58,78
192,se talo ihailee Merjaa ,1,,1220,0,0,12,6,5,2,0,0,2,2,4,9,7,0,0,11,4,2,13,4,4,18,3,305,32,7,27,31
193,se talo#[hAn] ihailee Merjaa ,1,,1315,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,12,4,2,11,4,4,19,4,328,32,7,22,31
194,se talo#[pA] ihailee Merjaa ,1,,1305,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,12,4,2,11,4,4,19,4,326,32,7,22,31
195,se talo#[kO] ihailee Merjaa ,1,,1305,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,12,4,2,11,4,4,19,4,326,32,7,22,31
196,se talo#[foc] ihailee Merjaa ,1,,1315,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,12,4,2,11,4,4,19,4,328,32,7,22,31
197,sita taloa#[hAn] Pekka ihailee ,1,,5370,3,6,17,17,20,4,0,2,2,4,6,24,15,0,3,13,12,2,34,10,8,28,6,1342,53,12,52,93
198,sita taloa#[pA] Pekka ihailee ,1,,5360,3,6,17,17,20,4,0,2,2,4,6,24,15,0,3,13,12,2,34,10,8,28,6,1340,53,12,52,93
199,sita taloa#[kO] Pekka ihailee ,1,,5360,3,6,17,17,20,4,0,2,2,4,6,24,15,0,3,13,12,2,34,10,8,28,6,1340,53,12,52,93
200,sita taloa#[foc] Pekka ihailee ,1,,5370,3,6,17,17,20,4,0,2,2,4,6,24,15,0,3,13,12,2,34,10,8,28,6,1342,53,12,52,93
201,se#[hAn] talo ihailee Merjaa ,1,,1295,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,12,4,2,11,4,4,19,4,323,32,7,22,62
202,se#[pA] talo ihailee Merjaa ,1,,1285,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,12,4,2,11,4,4,19,4,321,32,7,22,31
203,se#[kO] talo ihailee Merjaa ,1,,1285,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,12,4,2,11,4,4,19,4,321,32,7,22,46
204,se#[foc] talo ihailee Merjaa ,1,,1295,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,12,4,2,11,4,4,19,4,323,32,7,22,46
205,sita#[hAn] taloa Pekka ihailee ,1,,5375,3,6,17,17,20,5,0,2,3,4,6,25,15,0,3,13,12,2,34,10,8,28,6,1343,57,12,60,78
206,sita#[pA] taloa Pekka ihailee ,1,,5365,3,6,17,17,20,5,0,2,3,4,6,25,15,0,3,13,12,2,34,10,8,28,6,1341,57,12,60,93
207,sita#[kO] taloa Pekka ihailee ,1,,5365,3,6,17,17,20,5,0,2,3,4,6,25,15,0,3,13,12,2,34,10,8,28,6,1341,57,12,60,93
208,sita#[foc] taloa Pekka ihailee ,1,,5375,3,6,17,17,20,5,0,2,3,4,6,25,15,0,3,13,12,2,34,10,8,28,6,1343,57,12,60,93
209,se talo#[kO]#[hAn] ihailee Merjaa ,1,,1425,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,13,4,2,11,4,4,20,4,356,32,7,22,31
210,se talo#[pA]#[hAn] ihailee Merjaa ,1,,1425,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,13,4,2,11,4,4,20,4,356,32,7,22,31
211,se talo#[foc]#[hAn] ihailee Merjaa ,1,,1445,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,13,4,2,11,4,4,20,4,361,32,7,22,31
212,se talo#[foc]#[pA] ihailee Merjaa ,1,,1435,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,13,4,2,11,4,4,20,4,358,32,7,22,31
213,se#[kO]#[hAn] talo ihailee Merjaa ,1,,1405,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,13,4,2,11,4,4,20,4,351,32,7,22,46
214,se#[pA]#[hAn] talo ihailee Merjaa ,1,,1405,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,13,4,2,11,4,4,20,4,351,32,7,22,46
215,se#[foc]#[hAn] talo ihailee Merjaa ,1,,1425,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,13,4,2,11,4,4,20,4,356,32,7,22,46
216,se#[foc]#[pA] talo ihailee Merjaa ,1,,1415,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,13,4,2,11,4,4,20,4,353,32,7,22,31
217,sita taloa#[kO]#[hAn] Pekka ihailee ,1,,5480,3,6,17,17,20,4,0,2,2,4,6,24,15,0,3,14,12,2,34,10,8,29,6,1370,53,12,52,93
218,sita taloa#[pA]#[hAn] Pekka ihailee ,1,,5480,3,6,17,17,20,4,0,2,2,4,6,24,15,0,3,14,12,2,34,10,8,29,6,1370,53,12,52,109
219,sita taloa#[foc]#[hAn] Pekka ihailee ,1,,5500,3,6,17,17,20,4,0,2,2,4,6,24,15,0,3,14,12,2,34,10,8,29,6,1375,53,12,52,93
220,sita taloa#[foc]#[pA] Pekka ihailee ,1,,5490,3,6,17,17,20,4,0,2,2,4,6,24,15,0,3,14,12,2,34,10,8,29,6,1372,53,12,52,93
221,sita#[kO]#[hAn] taloa Pekka ihailee ,1,,5485,3,6,17,17,20,5,0,2,3,4,6,25,15,0,3,14,12,2,34,10,8,29,6,1371,57,12,60,93
222,sita#[pA]#[hAn] taloa Pekka ihailee ,1,,5485,3,6,17,17,20,5,0,2,3,4,6,25,15,0,3,14,12,2,34,10,8,29,6,1371,57,12,60,93
223,sita#[foc]#[hAn] taloa Pekka ihailee ,1,,5505,3,6,17,17,20,5,0,2,3,4,6,25,15,0,3,14,12,2,34,10,8,29,6,1376,57,12,60,93
224,sita#[foc]#[pA] taloa Pekka ihailee ,1,,5495,3,6,17,17,20,5,0,2,3,4,6,25,15,0,3,14,12,2,34,10,8,29,6,1373,57,12,60,109
225,se talo#[foc]#[kO]#[hAn] ihailee Merjaa ,1,,1555,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,14,4,2,11,4,4,21,4,388,32,7,22,31
226,se talo#[foc]#[pA]#[hAn] ihailee Merjaa ,1,,1555,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,14,4,2,11,4,4,21,4,388,32,7,22,31
227,se#[foc]#[kO]#[hAn] talo ihailee Merjaa ,1,,1535,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,14,4,2,11,4,4,21,4,383,32,7,22,31
228,se#[foc]#[pA]#[hAn] talo ihailee Merjaa ,1,,1535,0,0,12,6,5,2,0,2,0,2,4,7,7,0,0,14,4,2,11,4,4,21,4,383,32,7,22,31
229,sita taloa#[foc]#[kO]#[hAn] Pekka ihailee ,1,,5610,3,6,17,17,20,4,0,2,2,4,6,24,15,0,3,15,12,2,34,10,8,30,6,1402,53,12,52,93
230,sita taloa#[foc]#[pA]#[hAn] Pekka ihailee ,1,,5610,3,6,17,17,20,4,0,2,2,4,6,24,15,0,3,15,12,2,34,10,8,30,6,1402,53,12,52,93
231,sita#[foc]#[kO]#[hAn] taloa Pekka ihailee ,1,,5615,3,6,17,17,20,5,0,2,3,4,6,25,15,0,3,15,12,2,34,10,8,30,6,1403,57,12,60,93
232,sita#[foc]#[pA]#[hAn] taloa Pekka ihailee ,1,,5615,3,6,17,17,20,5,0,2,3,4,6,25,15,0,3,15,12,2,34,10,8,30,6,1403,57,12,60,93
233,sita taloa Pekka haluaa ihailla ,1,,7955,4,8,34,32,46,13,0,0,13,13,17,49,29,5,5,12,35,4,64,27,12,41,9,1591,171,24,223,218
234,sita taloa#[hAn] Pekka haluaa ihailla ,1,,9380,5,10,40,35,54,21,0,7,9,16,20,49,31,6,5,13,38,4,70,27,15,44,10,1876,169,30,139,281
235,sita taloa#[pA] Pekka haluaa ihailla ,1,,9370,5,10,40,35,54,21,0,7,9,16,20,49,31,6,5,13,38,4,70,27,15,44,10,1874,169,30,139,250
236,sita taloa#[kO] Pekka haluaa ihailla ,1,,9370,5,10,40,35,54,21,0,7,9,16,20,49,31,6,5,13,38,4,70,27,15,44,10,1874,169,30,139,312
237,sita taloa#[foc] Pekka haluaa ihailla ,1,,9380,5,10,40,35,54,21,0,7,9,16,20,49,31,6,5,13,38,4,70,27,15,44,10,1876,169,30,139,265
238,sita taloa#[foc]#[hAn] Pekka haluaa ihailla ,1,,9510,5,10,40,35,54,21,0,7,9,16,20,49,31,6,5,14,38,4,70,27,15,45,10,1902,169,30,139,218
239,sita taloa#[foc]#[pA] Pekka haluaa ihailla ,1,,9500,5,10,40,35,54,21,0,7,9,16,20,49,31,6,5,14,38,4,70,27,15,45,10,1900,169,30,139,250
240,sita taloa#[foc]#[kO] Pekka haluaa ihailla ,1,,9500,5,10,40,35,54,21,0,7,9,16,20,49,31,6,5,14,38,4,70,27,15,45,10,1900,169,30,139,250
241,sita taloa#[pA]#[hAn] Pekka haluaa ihailla ,1,,9490,5,10,40,35,54,21,0,7,9,16,20,49,31,6,5,14,38,4,70,27,15,45,10,1898,169,30,139,234
242,sita taloa#[kO]#[hAn] Pekka haluaa ihailla ,1,,9490,5,10,40,35,54,21,0,7,9,16,20,49,31,6,5,14,38,4,70,27,15,45,10,1898,169,30,139,234
243,sita taloa#[foc]#[pA]#[hAn] Pekka haluaa ihailla ,1,,9620,5,10,40,35,54,21,0,7,9,16,20,49,31,6,5,15,38,4,70,27,15,46,10,1924,169,30,139,250
244,sita taloa#[foc]#[kO]#[hAn] Pekka haluaa ihailla ,1,,9620,5,10,40,35,54,21,0,7,9,16,20,49,31,6,5,15,38,4,70,27,15,46,10,1924,169,30,139,250
245,sita#[hAn] taloa Pekka haluaa ihailla ,1,,9390,5,10,40,35,54,24,0,8,11,15,19,51,31,6,4,13,37,4,69,27,15,44,10,1878,179,30,157,234
246,sita#[pA] taloa Pekka haluaa ihailla ,1,,9380,5,10,40,35,54,24,0,8,11,15,19,51,31,6,4,13,37,4,69,27,15,44,10,1876,179,30,157,250
247,sita#[kO] taloa Pekka haluaa ihailla ,1,,9380,5,10,40,35,54,24,0,8,11,15,19,51,31,6,4,13,37,4,69,27,15,44,10,1876,179,30,157,250
248,sita#[foc] taloa Pekka haluaa ihailla ,1,,9390,5,10,40,35,54,24,0,8,11,15,19,51,31,6,4,13,37,4,69,27,15,44,10,1878,179,30,157,234
249,sita#[foc]#[hAn] taloa Pekka haluaa ihailla ,1,,9520,5,10,40,35,54,24,0,8,11,15,19,51,31,6,4,14,37,4,69,27,15,45,10,1904,179,30,157,250
250,sita#[foc]#[pA] taloa Pekka haluaa ihailla ,1,,9510,5,10,40,35,54,24,0,8,11,15,19,51,31,6,4,14,37,4,69,27,15,45,10,1902,179,30,157,250
251,sita#[foc]#[kO] taloa Pekka haluaa ihailla ,1,,9510,5,10,40,35,54,24,0,8,11,15,19,51,31,6,4,14,37,4,69,27,15,45,10,1902,179,30,157,250
252,sita#[pA]#[hAn] taloa Pekka haluaa ihailla ,1,,9500,5,10,40,35,54,24,0,8,11,15,19,51,31,6,4,14,37,4,69,27,15,45,10,1900,179,30,157,234
253,sita#[kO]#[hAn] taloa Pekka haluaa ihailla ,1,,9500,5,10,40,35,54,24,0,8,11,15,19,51,31,6,4,14,37,4,69,27,15,45,10,1900,179,30,157,234
254,sita#[foc]#[pA]#[hAn] taloa Pekka haluaa ihailla ,1,,9630,5,10,40,35,54,24,0,8,11,15,19,51,31,6,4,15,37,4,69,27,15,46,10,1926,179,30,157,265
255,sita#[foc]#[kO]#[hAn] taloa Pekka haluaa ihailla ,1,,9630,5,10,40,35,54,24,0,8,11,15,19,51,31,6,4,15,37,4,69,27,15,46,10,1926,179,30,157,265
256,Merjaa#[foc] lahella Pekka nukkui ,1,,5680,3,5,17,17,22,14,0,5,3,13,15,35,16,0,9,20,24,2,48,12,11,36,7,1420,84,9,90,140
257,Merjaa#[hAn] lahella Pekka nukkui ,1,,5680,3,5,17,17,22,14,0,5,3,13,15,35,16,0,9,20,24,2,48,12,11,36,7,1420,84,9,90,156
258,Merjaa#[kO] lahella Pekka nukkui ,1,,5670,3,5,17,17,22,14,0,5,3,13,15,35,16,0,9,20,24,2,48,12,11,36,7,1417,84,9,90,140
259,Merjaa#[pA] lahella Pekka nukkui ,1,,5670,3,5,17,17,22,14,0,5,3,13,15,35,16,0,9,20,24,2,48,12,11,36,7,1417,84,9,90,125
260,Merjaa#[kO]#[hAn] lahella Pekka nukkui ,1,,5790,3,5,17,17,22,14,0,5,3,13,15,35,16,0,9,21,24,2,48,12,11,37,7,1447,84,9,90,140
261,Merjaa#[pA]#[hAn] lahella Pekka nukkui ,1,,5790,3,5,17,17,22,14,0,5,3,13,15,35,16,0,9,21,24,2,48,12,11,37,7,1447,84,9,90,156
262,Merjaa#[foc]#[hAn] lahella Pekka nukkui ,1,,5810,3,5,17,17,22,14,0,5,3,13,15,35,16,0,9,21,24,2,48,12,11,37,7,1452,84,9,90,140
263,Merjaa#[foc]#[pA] lahella Pekka nukkui ,1,,5800,3,5,17,17,22,14,0,5,3,13,15,35,16,0,9,21,24,2,48,12,11,37,7,1450,84,9,90,140
264,Merjaa#[foc]#[pA]#[hAn] lahella Pekka nukkui ,1,,5920,3,5,17,17,22,14,0,5,3,13,15,35,16,0,9,22,24,2,48,12,11,38,7,1480,84,9,90,140
265,Merjaa#[foc]#[kO]#[hAn] lahella Pekka nukkui ,1,,5920,3,5,17,17,22,14,0,5,3,13,15,35,16,0,9,22,24,2,48,12,11,38,7,1480,84,9,90,140
266,keta ihailee Pekka ,1,,1055,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,8,1,3,10,4,2,15,3,351,36,5,28,31
267,kuka ihailee Merjaa ,1,,1250,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,3,416,14,4,5,31
268,kuka Merjaa halusi ihailla ,1,,1730,0,0,17,9,16,6,0,3,1,4,9,12,10,1,2,13,11,5,20,7,7,23,4,432,79,12,62,62
269,Pekka#[hAn] Merjaa ihailee ,1,,1425,0,0,9,6,8,2,0,1,1,1,4,8,7,0,2,13,4,3,13,4,4,20,4,475,25,6,18,31
270,Pekkahan Merjaa ihailee ,1,,1460,0,0,9,6,8,2,0,1,1,1,4,8,7,0,2,14,4,3,13,4,4,21,3,486,25,6,18,31
271,Merjaa#[hAn] ihailee Pekka ,1,,1410,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,13,1,3,10,4,2,20,4,470,36,5,28,31
272,Merjaahan ihailee Pekka ,1,,1385,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,13,1,3,10,4,2,20,3,461,36,5,28,31
273,Helsingissa#[hAn] nukkui Pekka ,1,,2590,1,2,8,8,10,5,0,4,1,5,8,9,8,0,1,10,3,3,13,5,2,18,5,863,27,5,20,62
274,Pekka#[pA] Merjaa ihailee ,1,,1415,0,0,9,6,8,2,0,1,1,1,4,8,7,0,2,13,4,3,13,4,4,20,4,471,25,6,18,46
275,Merjaa#[pA] ihailee Pekka ,1,,1400,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,13,1,3,10,4,2,20,4,466,36,5,28,31
276,Helsingissa#[pA] nukkui Pekka ,1,,2580,1,2,8,8,10,5,0,4,1,5,8,9,8,0,1,10,3,3,13,5,2,18,5,860,27,5,20,62
277,Pekka#[kO] Merjaa ihailee ,1,,1415,0,0,9,6,8,2,0,1,1,1,4,8,7,0,2,13,4,3,13,4,4,20,4,471,25,6,18,31
278,Merjaa#[kO] ihailee Pekka ,1,,1400,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,13,1,3,10,4,2,20,4,466,36,5,28,31
279,Helsingissa#[kO] nukkui Pekka ,1,,2580,1,2,8,8,10,5,0,4,1,5,8,9,8,0,1,10,3,3,13,5,2,18,5,860,27,5,20,46
280,Pekka#[foc] Merjaa ihailee ,1,,1425,0,0,9,6,8,2,0,1,1,1,4,8,7,0,2,13,4,3,13,4,4,20,4,475,25,6,18,46
281,PEKKA Merjaa ihailee ,1,,1430,0,0,9,6,8,2,0,1,1,1,4,8,7,0,2,14,4,3,13,4,4,21,3,476,25,6,18,31
282,Merjaa#[foc] ihailee Pekka ,1,,1410,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,13,1,3,10,4,2,20,4,470,36,5,28,31
283,Helsingissa#[foc] nukkui Pekka ,1,,2590,1,2,8,8,10,5,0,4,1,5,8,9,8,0,1,10,3,3,13,5,2,18,5,863,27,5,20,46
284,PEKKA#[hAn] Merjaa ihailee ,1,,1555,0,0,9,6,8,2,0,1,1,1,4,8,7,0,2,15,4,3,13,4,4,22,4,518,25,6,18,46
285,PEKKA#[pA] Merjaa ihailee ,1,,1545,0,0,9,6,8,2,0,1,1,1,4,8,7,0,2,15,4,3,13,4,4,22,4,515,25,6,18,31
286,PEKKA#[kO] Merjaa ihailee ,1,,1545,0,0,9,6,8,2,0,1,1,1,4,8,7,0,2,15,4,3,13,4,4,22,4,515,25,6,18,31
287,Pekka#[pA]#[hAn] Merjaa ihailee ,1,,1535,0,0,9,6,8,2,0,1,1,1,4,8,7,0,2,14,4,3,13,4,4,21,4,511,25,6,18,31
288,Pekka#[kO]#[hAn] Merjaa ihailee ,1,,1535,0,0,9,6,8,2,0,1,1,1,4,8,7,0,2,14,4,3,13,4,4,21,4,511,25,6,18,31
289,kuka#[hAn] Merjaa ihailee ,1,,1435,0,0,9,6,8,2,0,1,1,1,4,8,7,0,2,14,4,3,13,4,4,21,4,478,25,6,18,31
290,kuka#[pA] Merjaa ihailee ,1,,1425,0,0,9,6,8,2,0,1,1,1,4,8,7,0,2,14,4,3,13,4,4,21,4,475,25,6,18,46
291,kuka#[kO] Merjaa ihailee ,1,,1425,0,0,9,6,8,2,0,1,1,1,4,8,7,0,2,14,4,3,13,4,4,21,4,475,25,6,18,46
